Time (s) Run #1;Position (mm) Run #1;Light Intensity (%) Run #1;Log of Light Intensity Run #1;Intensity Vs. Time Run #1;Intensity Vs. Wavelength Run #1;Time (s) Run #2;Position (mm) Run #2;Light Intensity (%) Run #2;Log of Light Intensity Run #2;Intensity Vs. Time Run #2;Intensity Vs. Wavelength Run #2;Time (s) Run #3;Position (mm) Run #3;Light Intensity (%) Run #3;Log of Light Intensity Run #3;Intensity Vs. Time Run #3;Intensity Vs. Wavelength Run #3;Time (s) Run #4;Position (mm) Run #4;Light Intensity (%) Run #4;Log of Light Intensity Run #4;Intensity Vs. Time Run #4;Intensity Vs. Wavelength Run #4;Time (s) Run #5;Position (mm) Run #5;Light Intensity (%) Run #5;Log of Light Intensity Run #5;Intensity Vs. Time Run #5;Intensity Vs. Wavelength Run #5
0;-3,00;0,5;1,7;4,72;5;0;56,73;0,5;1,7;4,71;5;0;-12,08;0,5;1,7;4,81;5;0;22,09;0,5;1,7;4,69;5;0;81,68;0,5;1,7;4,78;5
50;-3,00;0,5;1,7;;5;50;56,73;0,5;1,7;;5;50;-12,08;0,5;1,7;;5;50;22,09;0,5;1,7;;5;50;81,68;0,5;1,7;;5
100;-3,00;0,5;1,7;;5;100;56,73;0,5;1,7;;5;100;-12,09;0,5;1,7;;5;100;22,09;0,5;1,7;;5;100;81,68;0,5;1,7;;5
150;-3,00;0,5;1,7;;5;150;56,73;0,5;1,7;;5;150;-12,09;0,5;1,7;;5;150;22,09;0,5;1,7;;5;150;81,68;0,5;1,7;;5
200;-3,00;0,5;1,7;;5;200;56,73;0,5;1,7;;5;200;-12,08;0,5;1,7;;5;200;22,09;0,5;1,7;;5;200;81,68;0,5;1,7;;5
250;-3,00;0,5;1,7;;5;250;56,73;0,5;1,7;;5;250;-12,08;0,5;1,7;;5;250;22,09;0,5;1,7;;5;250;81,68;0,5;1,7;;5
300;-3,00;0,5;1,7;;5;300;56,73;0,5;1,7;;5;300;-12,08;0,5;1,7;;5;300;22,09;0,5;1,7;;5;300;81,68;0,5;1,7;;5
350;-3,00;0,5;1,7;;5;350;56,73;0,5;1,7;;5;350;-12,08;0,5;1,7;;5;350;22,09;0,5;1,7;;5;350;81,68;0,5;1,7;;5
400;-3,00;0,5;1,7;;5;400;56,73;0,5;1,7;;5;400;-12,08;0,5;1,7;;5;400;22,09;0,5;1,7;;5;400;81,68;0,5;1,7;;5
450;-3,00;0,5;1,7;;5;450;56,73;0,5;1,7;;5;450;-12,08;0,5;1,7;;5;450;22,09;0,5;1,7;;5;450;81,68;0,5;1,7;;5
500;-3,00;0,5;1,7;;5;500;56,73;0,5;1,7;;5;500;-12,08;0,5;1,7;;5;500;22,09;0,5;1,7;;5;500;81,68;0,5;1,7;;5
550;-3,00;0,5;1,7;;5;550;56,73;0,5;1,7;;5;550;-12,08;0,5;1,7;;5;550;22,09;0,5;1,7;;5;550;81,68;0,5;1,7;;5
600;-3,00;0,5;1,7;;5;600;56,73;0,5;1,7;;5;600;-12,08;0,5;1,7;;5;600;22,09;0,5;1,7;;5;600;81,68;0,5;1,7;;5
650;-3,00;0,5;1,7;;5;650;56,73;0,5;1,7;;5;650;-12,08;0,5;1,7;;5;650;22,09;0,5;1,7;;5;650;81,68;0,5;1,7;;5
700;-3,00;0,5;1,7;;5;700;56,73;0,5;1,7;;5;700;-12,08;0,5;1,7;;5;700;22,09;0,5;1,7;;5;700;81,68;0,5;1,7;;5
750;-3,00;0,5;1,7;;5;750;56,73;0,5;1,7;;5;750;-12,08;0,5;1,7;;5;750;22,09;0,5;1,7;;5;750;81,68;0,5;1,7;;5
800;-3,00;0,5;1,7;;5;800;56,73;0,5;1,7;;5;800;-12,08;0,5;1,7;;5;800;22,09;0,5;1,7;;5;800;81,68;0,5;1,7;;5
850;-3,00;0,5;1,7;;5;850;56,73;0,5;1,7;;5;850;-12,08;0,5;1,7;;5;850;22,09;0,5;1,7;;5;850;81,68;0,5;1,7;;5
900;-3,00;0,5;1,7;;5;900;56,73;0,5;1,7;;5;900;-12,08;0,5;1,7;;5;900;22,09;0,5;1,7;;5;900;81,68;0,5;1,7;;5
950;-3,00;0,5;1,7;;5;950;56,73;0,5;1,7;;5;950;-12,08;0,5;1,7;;5;950;22,09;0,5;1,7;;5;950;81,68;0,5;1,7;;5
1000;-3,00;0,5;1,7;4,75;5;1000;56,73;0,5;1,7;4,78;5;1000;-12,08;0,5;1,7;4,75;5;1000;22,15;0,5;1,7;4,81;5;1000;81,68;0,5;1,7;4,68;5
1050;-3,00;0,5;1,7;;5;1050;56,73;0,5;1,7;;5;1050;-12,08;0,5;1,7;;5;1050;22,38;0,5;1,7;;5;1050;81,69;0,5;1,7;;5
1100;-3,00;0,5;1,7;;5;1100;56,73;0,5;1,7;;5;1100;-12,08;0,5;1,7;;5;1100;23,00;0,5;1,7;;5;1100;82,00;0,5;1,7;;5
1150;-3,00;0,5;1,7;;5;1150;56,73;0,5;1,7;;5;1150;-12,08;0,5;1,7;;5;1150;23,62;0,5;1,7;;5;1150;82,59;0,5;1,7;;5
1200;-3,00;0,5;1,7;;5;1200;56,73;0,5;1,7;;5;1200;-12,09;0,5;1,7;;5;1200;23,88;0,5;1,7;;5;1200;83,09;0,5;1,7;;5
1250;-3,00;0,5;1,7;;5;1250;56,73;0,5;1,7;;5;1250;-12,09;0,5;1,7;;5;1250;24,17;0,5;1,7;;5;1250;83,48;0,5;1,7;;5
1300;-3,00;0,5;1,7;;5;1300;56,73;0,5;1,7;;5;1300;-12,09;0,5;1,7;;5;1300;24,50;0,5;1,7;;5;1300;83,81;0,5;1,7;;5
1350;-3,00;0,5;1,7;;5;1350;56,73;0,5;1,7;;5;1350;-12,05;0,5;1,7;;5;1350;24,87;0,5;1,7;;5;1350;84,15;0,5;1,7;;5
1400;-3,00;0,5;1,7;;5;1400;56,73;0,5;1,7;;5;1400;-12,02;0,5;1,7;;5;1400;25,27;0,5;1,7;;5;1400;84,58;0,5;1,7;;5
1450;-3,00;0,5;1,7;;5;1450;56,73;0,5;1,7;;5;1450;-12,03;0,5;1,7;;5;1450;25,59;0,5;1,7;;5;1450;85,07;0,5;1,7;;5
1500;-3,00;0,5;1,7;;5;1500;56,73;0,5;1,7;;5;1500;-11,92;0,5;1,7;;5;1500;25,84;0,5;1,7;;5;1500;85,67;0,5;1,7;;5
1550;-3,00;0,5;1,7;;5;1550;56,73;0,5;1,7;;5;1550;-11,81;0,5;1,7;;5;1550;26,04;0,5;1,7;;5;1550;86,36;0,5;1,7;;5
1600;-3,00;0,5;1,7;;5;1600;56,73;0,5;1,7;;5;1600;-11,72;0,5;1,7;;5;1600;26,35;0,5;1,7;;5;1600;86,61;0,5;1,7;;5
1650;-3,00;0,5;1,7;;5;1650;56,73;0,5;1,7;;5;1650;-11,69;0,6;1,7;;5;1650;26,65;0,5;1,7;;5;1650;86,46;0,5;1,7;;5
1700;-3,00;0,5;1,7;;5;1700;56,73;0,5;1,7;;5;1700;-11,67;0,6;1,7;;5;1700;26,95;0,5;1,7;;5;1700;85,78;0,5;1,7;;5
1750;-3,00;0,5;1,7;;5;1750;56,73;0,5;1,7;;5;1750;-11,64;0,6;1,8;;5;1750;27,37;0,5;1,7;;5;1750;84,40;0,5;1,7;;5
1800;-3,00;0,5;1,7;;5;1800;56,73;0,5;1,7;;5;1800;-11,64;0,6;1,7;;5;1800;27,68;0,5;1,7;;5;1800;83,20;0,5;1,7;;5
1850;-3,00;0,5;1,7;;5;1850;56,73;0,5;1,7;;5;1850;-11,64;0,6;1,7;;5;1850;27,96;0,5;1,7;;5;1850;81,98;0,5;1,7;;5
1900;-3,00;0,5;1,7;;5;1900;56,73;0,5;1,7;;5;1900;-11,64;0,6;1,8;;5;1900;28,18;0,5;1,7;;5;1900;80,92;0,5;1,7;;5
1950;-3,00;0,5;1,7;;5;1950;56,73;0,5;1,7;;5;1950;-11,64;0,6;1,8;;5;1950;28,41;0,5;1,7;;5;1950;79,68;0,5;1,7;;5
2000;-3,00;0,5;1,7;4,75;5;2000;56,73;0,5;1,7;4,66;5;2000;-11,64;0,6;1,7;4,67;5;2000;28,61;0,5;1,7;4,69;5;2000;78,44;0,5;1,7;4,75;5
2050;-3,00;0,5;1,7;;5;2050;56,73;0,5;1,7;;5;2050;-11,64;0,6;1,7;;5;2050;28,81;0,5;1,7;;5;2050;77,71;0,5;1,7;;5
2100;-3,00;0,5;1,7;;5;2100;56,73;0,5;1,7;;5;2100;-11,64;0,6;1,7;;5;2100;29,00;0,5;1,7;;5;2100;77,37;0,5;1,7;;5
2150;-3,00;0,5;1,7;;5;2150;56,73;0,5;1,7;;5;2150;-11,64;0,6;1,7;;5;2150;29,22;0,5;1,7;;5;2150;76,85;0,5;1,7;;5
2200;-3,00;0,5;1,7;;5;2200;56,73;0,5;1,7;;5;2200;-11,64;0,6;1,7;;5;2200;29,40;0,5;1,7;;5;2200;75,91;0,5;1,7;;5
2250;-3,00;0,5;1,7;;5;2250;56,73;0,5;1,7;;5;2250;-11,64;0,6;1,7;;5;2250;29,56;0,5;1,7;;5;2250;75,07;0,5;1,7;;5
2300;-3,00;0,5;1,7;;5;2300;56,73;0,5;1,7;;5;2300;-11,64;0,6;1,8;;5;2300;29,73;0,5;1,7;;5;2300;74,39;0,5;1,7;;5
2350;-3,00;0,5;1,7;;5;2350;56,73;0,5;1,7;;5;2350;-11,64;0,6;1,7;;5;2350;29,91;0,5;1,7;;5;2350;73,81;0,5;1,7;;5
2400;-3,00;0,5;1,7;;5;2400;56,73;0,5;1,7;;5;2400;-11,64;0,6;1,7;;5;2400;30,02;0,5;1,7;;5;2400;73,23;0,5;1,7;;5
2450;-3,00;0,5;1,7;;5;2450;56,73;0,5;1,7;;5;2450;-11,64;0,6;1,7;;5;2450;30,12;0,5;1,7;;5;2450;72,81;0,5;1,7;;5
2500;-2,97;0,5;1,7;;5;2500;56,73;0,5;1,7;;5;2500;-11,64;0,6;1,8;;5;2500;30,29;0,5;1,7;;5;2500;72,28;0,5;1,7;;5
2550;-2,72;0,5;1,7;;5;2550;56,73;0,5;1,7;;5;2550;-11,64;0,6;1,8;;5;2550;30,56;0,5;1,7;;5;2550;71,66;0,5;1,7;;5
2600;-2,47;0,5;1,7;;5;2600;56,73;0,5;1,7;;5;2600;-11,64;0,6;1,7;;5;2600;30,81;0,5;1,7;;5;2600;71,07;0,5;1,7;;5
2650;-2,22;0,5;1,7;;5;2650;56,73;0,5;1,7;;5;2650;-11,64;0,6;1,8;;5;2650;31,00;0,5;1,7;;5;2650;70,48;0,5;1,7;;5
2700;-1,88;0,5;1,7;;5;2700;56,73;0,5;1,7;;5;2700;-11,64;0,6;1,7;;5;2700;31,08;0,5;1,7;;5;2700;70,08;0,5;1,7;;5
