"Czas (s) Seria nr 1";"Położenie, 489-891 (m) Seria nr 1";"Położenie, 490-771 (m) Seria nr 1";"Czas (s) Seria nr 2";"Położenie, 489-891 (m) Seria nr 2";"Położenie, 490-771 (m) Seria nr 2";"Czas (s) Seria nr 3";"Położenie, 489-891 (m) Seria nr 3";"Położenie, 490-771 (m) Seria nr 3";"Czas (s) Seria nr 4";"Położenie, 489-891 (m) Seria nr 4";"Położenie, 490-771 (m) Seria nr 4";"Czas (s) Seria nr 5";"Położenie, 489-891 (m) Seria nr 5";"Położenie, 490-771 (m) Seria nr 5";"Czas (s) Seria nr 6";"Położenie, 489-891 (m) Seria nr 6";"Położenie, 490-771 (m) Seria nr 6";"Czas (s) Seria nr 7";"Położenie, 489-891 (m) Seria nr 7";"Położenie, 490-771 (m) Seria nr 7"
0,000;0,2360;;0,000;0,2781;;0,000;0,2915;;0,000;0,2477;;0,000;0,3026;;0,000;0,2631;;0,000;0,2529;
0,013;;0,1979;0,013;;0,2027;0,013;;0,1794;0,013;;0,1776;0,013;;0,1859;0,013;;0,1868;0,013;;0,1837
0,025;0,2345;;0,025;0,2800;;0,025;0,2922;;0,025;0,2494;;0,025;0,3024;;0,025;0,2608;;0,025;0,2525;
0,038;;0,1958;0,038;;0,2046;0,038;;0,1801;0,038;;0,1795;0,038;;0,1859;0,038;;0,1848;0,038;;0,1854
0,050;0,2331;;0,050;0,2817;;0,050;0,2927;;0,050;0,2512;;0,050;0,3020;;0,050;0,2588;;0,050;0,2525;
0,062;;0,1937;0,062;;0,2064;0,062;;0,1808;0,062;;0,1813;0,062;;0,1861;0,062;;0,1829;0,062;;0,1871
0,075;0,2319;;0,075;0,2834;;0,075;0,2929;;0,075;0,2531;;0,075;0,3012;;0,075;0,2569;;0,075;0,2525;
0,088;;0,1915;0,088;;0,2079;0,088;;0,1816;0,088;;0,1833;0,088;;0,1861;0,088;;0,1810;0,088;;0,1888
0,100;0,2310;;0,100;0,2850;;0,100;0,2929;;0,100;0,2554;;0,100;0,3002;;0,100;0,2550;;0,100;0,2525;
0,113;;0,1894;0,113;;0,2093;0,113;;0,1825;0,113;;0,1855;0,113;;0,1863;0,113;;0,1793;0,113;;0,1904
0,125;0,2305;;0,125;0,2862;;0,125;0,2926;;0,125;0,2576;;0,125;0,2988;;0,125;0,2532;;0,125;0,2525;
0,138;;0,1874;0,138;;0,2105;0,138;;0,1835;0,138;;0,1876;0,138;;0,1863;0,138;;0,1775;0,138;;0,1919
0,150;0,2301;;0,150;0,2872;;0,150;0,2921;;0,150;0,2598;;0,150;0,2971;;0,150;0,2515;;0,150;0,2525;
0,163;;0,1853;0,163;;0,2115;0,163;;0,1844;0,163;;0,1897;0,163;;0,1863;0,163;;0,1760;0,163;;0,1933
0,175;0,2300;;0,175;0,2881;;0,175;0,2914;;0,175;0,2621;;0,175;0,2951;;0,175;0,2500;;0,175;0,2523;
0,188;;0,1832;0,188;;0,2122;0,188;;0,1852;0,188;;0,1919;0,188;;0,1863;0,188;;0,1744;0,188;;0,1945
